0.75,0.7,0.65,0.6,0.55,0.5,0.45,0.4,0.35,0.3,0.25,0.2,0.15,0.1,0.05,0.025,0.01,0.005,0.001,0.0001
0.10153,0.14847,0.2059,0.275,0.35732,0.45494,0.57065,0.70833,0.87346,1.0742,1.3233,1.6424,2.0723,2.7055,3.8415,5.0239,6.6349,7.8794,10.828,15.137
0.57536,0.71335,0.86157,1.0217,1.1957,1.3863,1.597,1.8326,2.0996,2.4079,2.7726,3.2189,3.7942,4.6052,5.9915,7.3778,9.2103,10.597,13.816,18.421
1.2125,1.4237,1.6416,1.8692,2.1095,2.366,2.643,2.9462,3.2831,3.6649,4.1083,4.6416,5.317,6.2514,7.8147,9.3484,11.345,12.838,16.266,21.108
1.9226,2.1947,2.4701,2.7528,3.0469,3.3567,3.6871,4.0446,4.4377,4.8784,5.3853,5.9886,6.7449,7.7794,9.4877,11.143,13.277,14.86,18.467,23.513
2.6746,2.9999,3.3251,3.6555,3.9959,4.3515,4.7278,5.1319,5.5731,6.0644,6.6257,7.2893,8.1152,9.2364,11.07,12.833,15.086,16.75,20.515,25.745
3.4546,3.8276,4.1973,4.5702,4.9519,5.3481,5.7652,6.2108,6.6948,7.2311,7.8408,8.5581,9.4461,10.645,12.592,14.449,16.812,18.548,22.458,27.856
4.2549,4.6713,5.0816,5.4932,5.9125,6.3458,6.8,7.2832,7.8061,8.3834,9.0371,9.8032,10.748,12.017,14.067,16.013,18.475,20.278,24.322,29.878
5.0706,5.5274,5.9753,6.4226,6.8766,7.3441,7.8325,8.3505,8.9094,9.5245,10.219,11.03,12.027,13.362,15.507,17.535,20.09,21.955,26.124,31.828
5.8988,6.3933,6.8763,7.357,7.8434,8.3428,8.8632,9.4136,10.006,10.656,11.389,12.242,13.288,14.684,16.919,19.023,21.666,23.589,27.877,33.72
6.7372,7.2672,7.7832,8.2955,8.8124,9.3418,9.8922,10.473,11.097,11.781,12.549,13.442,14.534,15.987,18.307,20.483,23.209,25.188,29.588,35.564
7.5841,8.1479,8.6952,9.2373,9.7831,10.341,10.92,11.53,12.184,12.899,13.701,14.631,15.767,17.275,19.675,21.92,24.725,26.757,31.264,37.367
8.4384,9.0343,9.6115,10.182,10.755,11.34,11.946,12.584,13.266,14.011,14.845,15.812,16.989,18.549,21.026,23.337,26.217,28.3,32.909,39.134
9.2991,9.9257,10.532,11.129,11.729,12.34,12.972,13.636,14.345,15.119,15.984,16.985,18.202,19.812,22.362,24.736,27.688,29.819,34.528,40.871
10.165,10.821,11.455,12.078,12.703,13.339,13.996,14.685,15.421,16.222,17.117,18.151,19.406,21.064,23.685,26.119,29.141,31.319,36.123,42.579
11.037,11.721,12.381,13.03,13.679,14.339,15.02,15.733,16.494,17.322,18.245,19.311,20.603,22.307,24.996,27.488,30.578,32.801,37.697,44.263
11.912,12.624,13.31,13.983,14.655,15.338,16.042,16.78,17.565,18.418,19.369,20.465,21.793,23.542,26.296,28.845,32,34.267,39.252,45.925
12.792,13.531,14.241,14.937,15.633,16.338,17.065,17.824,18.633,19.511,20.489,21.615,22.977,24.769,27.587,30.191,33.409,35.718,40.79,47.566
13.675,14.44,15.174,15.893,16.611,17.338,18.086,18.868,19.699,20.601,21.605,22.76,24.155,25.989,28.869,31.526,34.805,37.156,42.312,49.189
14.562,15.352,16.109,16.85,17.589,18.338,19.107,19.91,20.764,21.689,22.718,23.9,25.329,27.204,30.144,32.852,36.191,38.582,43.82,50.795
15.452,16.266,17.046,17.809,18.569,19.337,20.127,20.951,21.826,22.775,23.828,25.038,26.498,28.412,31.41,34.17,37.566,39.997,45.315,52.386
16.344,17.182,17.984,18.768,19.548,20.337,21.147,21.991,22.888,23.858,24.935,26.171,27.662,29.615,32.671,35.479,38.932,41.401,46.797,53.962
17.24,18.101,18.924,19.729,20.529,21.337,22.166,23.031,23.947,24.939,26.039,27.301,28.822,30.813,33.924,36.781,40.289,42.796,48.268,55.525
18.137,19.021,19.866,20.69,21.51,22.337,23.185,24.069,25.006,26.018,27.141,28.429,29.979,32.007,35.172,38.076,41.638,44.181,49.728,57.075
19.037,19.943,20.808,21.652,22.491,23.337,24.204,25.106,26.063,27.096,28.241,29.553,31.132,33.196,36.415,39.364,42.98,45.559,51.179,58.613
19.939,20.867,21.752,22.616,23.472,24.337,25.222,26.143,27.118,28.172,29.339,30.675,32.282,34.382,37.652,40.646,44.314,46.928,52.62,60.14
20.843,21.792,22.697,23.579,24.454,25.336,26.24,27.179,28.173,29.246,30.435,31.795,33.429,35.563,38.885,41.923,45.642,48.29,54.052,61.657
21.749,22.719,23.644,24.544,25.437,26.336,27.257,28.214,29.227,30.319,31.528,32.912,34.574,36.741,40.113,43.195,46.963,49.645,55.476,63.164
22.657,23.647,24.591,25.509,26.419,27.336,28.274,29.249,30.279,31.391,32.62,34.027,35.715,37.916,41.337,44.461,48.278,50.993,56.892,64.662
23.567,24.577,25.539,26.475,27.402,28.336,29.291,30.283,31.331,32.461,33.711,35.139,36.854,39.087,42.557,45.722,49.588,52.336,58.301,66.152
24.478,25.508,26.488,27.442,28.386,29.336,30.307,31.316,32.382,33.53,34.8,36.25,37.99,40.256,43.773,46.979,50.892,53.672,59.703,67.633
25.39,26.44,27.438,28.409,29.369,30.336,31.323,32.349,33.431,34.598,35.887,37.359,39.124,41.422,44.985,48.232,52.191,55.003,61.098,69.106
26.304,27.373,28.389,29.376,30.353,31.336,32.339,33.381,34.48,35.665,36.973,38.466,40.256,42.585,46.194,49.48,53.486,56.328,62.487,70.571
27.219,28.307,29.34,30.344,31.337,32.336,33.355,34.413,35.529,36.731,38.058,39.572,41.386,43.745,47.4,50.725,54.776,57.648,63.87,72.03
28.136,29.242,30.293,31.313,32.322,33.336,34.371,35.444,36.576,37.795,39.141,40.676,42.514,44.903,48.602,51.966,56.061,58.964,65.247,73.481
29.054,30.178,31.246,32.282,33.306,34.336,35.386,36.475,37.623,38.859,40.223,41.778,43.64,46.059,49.802,53.203,57.342,60.275,66.619,74.926
29.973,31.115,32.2,33.252,34.291,35.336,36.401,37.505,38.669,39.922,41.304,42.879,44.764,47.212,50.998,54.437,58.619,61.581,67.985,76.365
30.893,32.053,33.154,34.222,35.276,36.336,37.416,38.535,39.715,40.984,42.383,43.978,45.886,48.363,52.192,55.668,59.893,62.883,69.346,77.798
31.815,32.992,34.109,35.192,36.262,37.335,38.43,39.564,40.76,42.045,43.462,45.076,47.007,49.513,53.384,56.896,61.162,64.181,70.703,79.225
32.737,33.932,35.064,36.163,37.247,38.335,39.445,40.593,41.804,43.105,44.539,46.173,48.126,50.66,54.572,58.12,62.428,65.476,72.055,80.646
33.66,34.872,36.021,37.134,38.233,39.335,40.459,41.622,42.848,44.165,45.616,47.269,49.244,51.805,55.758,59.342,63.691,66.766,73.402,82.062
34.585,35.813,36.977,38.105,39.219,40.335,41.473,42.651,43.891,45.224,46.692,48.363,50.36,52.949,56.942,60.561,64.95,68.053,74.745,83.473
35.51,36.755,37.935,39.077,40.205,41.335,42.487,43.679,44.934,46.282,47.766,49.456,51.475,54.09,58.124,61.777,66.206,69.336,76.084,84.879
36.436,37.698,38.892,40.05,41.191,42.335,43.501,44.706,45.976,47.339,48.84,50.548,52.588,55.23,59.304,62.99,67.459,70.616,77.419,86.281
37.363,38.641,39.851,41.022,42.177,43.335,44.514,45.734,47.017,48.396,49.913,51.639,53.7,56.369,60.481,64.201,68.71,71.893,78.75,87.677
38.291,39.585,40.809,41.995,43.164,44.335,45.527,46.761,48.058,49.452,50.985,52.729,54.81,57.505,61.656,65.41,69.957,73.166,80.077,89.07
39.22,40.529,41.769,42.968,44.15,45.335,46.541,47.787,49.099,50.507,52.056,53.818,55.92,58.641,62.83,66.617,71.201,74.437,81.4,90.457
40.149,41.474,42.728,43.942,45.137,46.335,47.554,48.814,50.139,51.562,53.127,54.906,57.028,59.774,64.001,67.821,72.443,75.704,82.72,91.841
